id,folder,architecture,dataset,layer size,depth,activation function,dropout,batch size,learning rate,epochs,loss,radian loss,mse loss,elapsed time
321,models/model321/,lstm,3x,230,4,Tanh,0.12,508,8.31763771102671e-06,200,0.057423357985913755,0.05085413479804993,0.006569223187863828,00:59:34
322,models/model322/,lstm,3x,116,4,ReLU,0.38,141,1.8197008586099827e-05,200,0.03997023757314309,0.03497504344582557,0.004995194127317517,00:59:27
323,models/model323/,lstm,3x,330,4,LeakyReLU,0.26,21,1.3182567385564074e-06,200,0.041568978019291554,0.03632424858212473,0.005244729437166827,04:24:26
324,models/model324/,lstm,3x,93,2,LeakyReLU,0.44,48,0.00018620871366628676,200,0.0389119995161891,0.034590875625610355,0.0043211238905787475,01:06:14
325,models/model325/,mlp,3x,24,6,Tanh,0.33,60,3.235936569296281e-06,200,0.15402848105877637,0.14370235502719877,0.010326126031577587,00:36:03
326,models/model326/,mlp,3x,173,4,Tanh,0.46,23,2.089296130854041e-05,200,0.03762081194436177,0.0326459614932537,0.004974850451108068,00:44:49
327,models/model327/,lstm,3x,157,6,LeakyReLU,0.14,1060,1.2302687708123811e-06,200,0.5756207951903343,0.45535641729831694,0.12026437789201735,00:56:07
328,models/model328/,lstm,3x,156,3,Tanh,0.39,21,0.000239883291901949,200,0.0536067454435397,0.04868539515137673,0.004921350292162969,02:49:22
329,models/model329/,lstm,3x,390,3,LeakyReLU,0.37,121,3.548133892335753e-06,200,0.041985705614788454,0.0364929324388504,0.005492773175938054,01:35:57
330,models/model330/,mlp,3x,266,5,ReLU,0.14,512,3.7153522909717276e-06,200,0.04563183684274554,0.0376564736366272,0.007975363206118346,00:33:54
331,models/model331/,lstm,3x,16,6,LeakyReLU,0.09,20,0.0005495408738576248,200,0.053071530708111825,0.048157576918601994,0.004913953789509832,05:31:40
332,models/model332/,lstm,3x,212,5,ReLU,0.21,288,5.623413251903491e-05,200,0.03537436456605792,0.03087156629562378,0.004502798270434141,01:06:56
333,models/model333/,mlp,3x,53,5,LeakyReLU,0.02,143,1.6595869074375598e-05,200,0.03757704712520354,0.032935862600803376,0.00464118452440016,00:24:47
334,models/model334/,lstm,3x,47,5,Tanh,0.29,59,3.8018939632056124e-05,200,0.037924769786652185,0.03300792011618615,0.004916849670466034,01:35:03
335,models/model335/,mlp,3x,83,3,Tanh,0.19,147,8.128305161640995e-06,200,0.07707634894014337,0.0720967467725277,0.004979602167615667,00:25:39
336,models/model336/,mlp,3x,130,4,LeakyReLU,0.18,709,0.0005128613839913648,200,0.03808155162003823,0.033434777289628986,0.004646774330409243,00:29:54
337,models/model337/,mlp,3x,90,6,ReLU,0.31,87,8.709635899560814e-05,200,0.04199732004944236,0.037174421012401586,0.00482289903704077,00:27:34
338,models/model338/,mlp,3x,178,3,ReLU,0.14,377,3.235936569296281e-05,200,0.03544122763536871,0.031032339453697204,0.0044088881816715005,00:30:59
